Statistic Measure, SVM(BoW), Random Forest(BoW), SVM(SVD), Random Forest(SVD), SVM(W2v), Random Forest(W2V), Our Method
Accuracy,0.9906275468622657,0.9837000814995925,0.9853300733496333,0.9853300733496333,0.9449877750611247,0.9731051344743277,0.9930725346373268
Precision,0.9906147533607452,0.9843073840982193,0.9839637366099654,0.9843599641143601,0.9406354024775077,0.9722720805488055,0.9927614849287701
Recall,0.9909345019696177,0.9807431788685588,0.9831416921475797,0.9821930894705384,0.939563123707261,0.971430650278555,0.9933707715873362
F-Measure,0.9907659931902201,0.9823721463897883,0.9835379872715364,0.9832444866542562,0.9400485446452652,0.9717439210901617,0.9930587780486361
AUC,None,None,None,None,None,None,None
