Statistic Measure, SVM(BoW), Random Forest(BoW), SVM(SVD), Random Forest(SVD), SVM(W2v), Random Forest(W2V), Our Method
Accuracy,0.986960065199674,0.9816625916870416,0.9853300733496333,0.9865525672371638,0.9437652811735942,0.973920130399348,0.9955175224123879
Precision,0.9869814286090224,0.9814671127314403,0.9858796872596898,0.9864720632247288,0.9402266658999059,0.9727123357680979,0.9949536630589355
Recall,0.9846953117792637,0.978922827884889,0.984717322136089,0.9844819328315481,0.9388714370927266,0.9697433321920796,0.9949005539495571
F-Measure,0.9857733390930556,0.9801249540574981,0.9852890941970468,0.9854182108265632,0.9394807117671318,0.9711090918422871,0.9949246695052496
AUC,None,None,None,None,None,None,None
