Statistic Measure, SVM(BoW), Random Forest(BoW), SVM(SVD), Random Forest(SVD), SVM(W2v), Random Forest(W2V), Our Method
Accuracy,0.9877750611246944,0.9845150774246129,0.9898125509372453,0.9820700896495518,0.9466177669111654,0.9726976365118174,0.991442542787286
Precision,0.9867170085045764,0.9848750162861615,0.9897881368994501,0.9810682640435131,0.9416023877866625,0.972256099868822,0.9912056358064326
Recall,0.9874275582014587,0.9842011194983151,0.9881636745965533,0.9800879852363711,0.9412741412673906,0.97042501371638,0.9913736798796045
F-Measure,0.9870581515974338,0.9845307804847112,0.9889592962504226,0.9804890394753857,0.9413745027093322,0.9712514545279147,0.9912754145901372
AUC,None,None,None,None,None,None,None
