Statistic Measure, SVM(BoW), Random Forest(BoW), SVM(SVD), Random Forest(SVD), SVM(W2v), Random Forest(W2V), Our Method
Accuracy,0.988997555012225,0.9812550937245313,0.9861450692746536,0.9841075794621027,0.936837815810921,0.9800325998370009,0.9898125509372453
Precision,0.9882272914912267,0.9802071098825864,0.9863077524874013,0.9838326777280928,0.9325690406353759,0.9801372097552985,0.9877548050080389
Recall,0.9892307774389396,0.9800243126869461,0.9842092833070193,0.9816932660956764,0.9295178928109241,0.978116991030906,0.9882605714120967
F-Measure,0.9887192333335986,0.9801039269525175,0.9852091008918953,0.982717746964252,0.9309130982080527,0.979067593881519,0.9879864525960909
AUC,None,None,None,None,None,None,None
