Statistic Measure, SVM(BoW), Random Forest(BoW), SVM(SVD), Random Forest(SVD), SVM(W2v), Random Forest(W2V), Our Method
Accuracy,0.9853300733496333,0.9824775876120619,0.9841075794621027,0.9861450692746536,0.943357783211084,0.9702526487367563,0.9922575387123065
Precision,0.9852091022290608,0.9818235399883912,0.9840693472576326,0.9863484014556659,0.9396055431622766,0.9685568539440546,0.9902089248248884
Recall,0.9829280879259645,0.9789051287731663,0.9828184685225786,0.9846726931880859,0.9395801652369412,0.9674511794948117,0.9918986650036216
F-Measure,0.9840002974319357,0.9803084473426207,0.9834168326673396,0.985479692135651,0.9393863434338943,0.9679715886640992,0.9910340670963661
AUC,None,None,None,None,None,None,None
